krs,name,hasc_2,bundesland,centr_lon,centr_lat,x_epsg5243,y_epsg5243,total_area_epsg5243
05512,Bottrop,DE.NW.BT,Nordrhein-Westfalen,6.920116162249353,51.57169388586477,-247869.7759058644,69574.9663520306,100077567.4935001
05513,Gelsenkirchen,DE.NW.GL,Nordrhein-Westfalen,7.07124032459569,51.55395640388476,-237504.57324962708,67107.35835181198,105190969.71298175
05515,Münster,DE.NW.MN,Nordrhein-Westfalen,7.623646817450454,51.95431672765071,-197523.10380126757,109936.44664564576,303028786.6473767
05554,Borken,DE.NW.BR,Nordrhein-Westfalen,6.8996155765962754,51.96131985161526,-247203.89242904432,112884.63550993692,1418816703.475603
05558,Coesfeld,DE.NW.CE,Nordrhein-Westfalen,7.366012238921911,51.86685104161817,-215596.0192270994,100937.54644251881,1110264054.3739595
05562,Recklinghausen,DE.NW.RC,Nordrhein-Westfalen,7.159248926552868,51.672483881432726,-230809.2898390666,79988.23094230574,759974130.4464282
05566,Steinfurt,DE.NW.SF,Nordrhein-Westfalen,7.579446797865736,52.211536699709335,-199434.6611134667,138633.22781298053,1792631912.5546649
05570,Warendorf,DE.NW.WR,Nordrhein-Westfalen,7.95829499837993,51.8702228061063,-174858.11098882149,99735.15679558221,1316385500.3369508
05711,Bielefeld,DE.NW.BE,Nordrhein-Westfalen,8.540743910290127,52.010948567516266,-134395.08101188426,114159.26040357929,258629404.40576893
05754,Gütersloh,DE.NW.GT,Nordrhein-Westfalen,8.351386017569828,51.93170895601004,-147625.69976127933,105705.82872959414,967818198.1443763
05758,Herford,DE.NW.HF,Nordrhein-Westfalen,8.643931634557585,52.16757777011564,-126876.51345029307,131389.15080685157,450026797.0096258
05762,Höxter,DE.NW.HX,Nordrhein-Westfalen,9.178091496226287,51.684940757770995,-91339.89533800473,76929.19745116125,1198558280.786782
05766,Lippe,DE.NW.LP,Nordrhein-Westfalen,8.950837238521965,51.98142267424629,-106336.5628502512,110204.30534287324,1243731676.9672577
05770,Minden-Lübbecke,DE.NW.ML,Nordrhein-Westfalen,8.739348345525828,52.35247549149911,-119851.65423198814,151781.65226612304,1150239288.0702105
05774,Paderborn,DE.NW.PD,Nordrhein-Westfalen,8.719635023173941,51.66417550257864,-123058.18797298381,75297.80181193135,1244552348.6635177
05911,Bochum,DE.NW.BC,Nordrhein-Westfalen,7.224935227669396,51.46992733351243,-227284.44153570372,57293.57069257053,144449124.33588013
05913,Dortmund,DE.NW.DD,Nordrhein-Westfalen,7.474900886907789,51.51607755569996,-209735.30235844708,61674.60023613948,279165869.3040043
05914,Hagen,DE.NW.HG,Nordrhein-Westfalen,7.497555644354694,51.34804507587248,-208927.1493423857,42948.40112731281,160078683.07516566
05915,Hamm,DE.NW.HM,Nordrhein-Westfalen,7.823586194507905,51.6651744306397,-184968.05837845357,77300.15985310223,227217166.54341802
05916,Herne,DE.NW.HR,Nordrhein-Westfalen,7.208557706146242,51.53753312657581,-228083.4793830067,64852.12629356495,51402844.67938865
05954,Ennepe-Ruhr-Kreis,DE.NW.ER,Nordrhein-Westfalen,7.324029343332417,51.346844807326114,-220996.7028761033,43318.680229484,410247800.4215918
05958,Hochsauerlandkreis,DE.NW.HC,Nordrhein-Westfalen,8.385079871270161,51.3068253640953,-147326.87327660323,36228.772406712866,1955884877.1535394
05962,Märkischer Kreis,DE.NW.MK,Nordrhein-Westfalen,7.713008117093293,51.26261143829676,-194313.76307320714,32851.86436070178,1058956706.9748427
05966,Olpe,DE.NW.OP,Nordrhein-Westfalen,7.9764771968189505,51.08615956947803,-176625.3945012848,12602.628107780722,710435001.8688958
05970,Siegen-Wittgenstein,DE.NW.SW,Nordrhein-Westfalen,8.195170219804702,50.93773864052224,-161861.1477332855,-4391.1153704976605,1132122459.1501834
05974,Soest,DE.NW.SO,Nordrhein-Westfalen,8.217437458017114,51.564410486310784,-158106.40868371254,65188.34373741959,1327181340.9069834
05978,Unna,DE.NW.UN,Nordrhein-Westfalen,7.636444589851011,51.57857453641248,-198262.4600922588,68157.43279365014,541750712.9416922
06411,Darmstadt,DE.HE.DR,Hessen,8.664681576013162,49.88144615306621,-131805.0138703212,-122677.13886078702,122906650.8959065
06412,Frankfurt am Main,DE.HE.FM,Hessen,8.64419041215204,50.11796807026801,-132615.26742954398,-96359.5074188059,247838607.16582584
06413,Offenbach am Main,DE.HE.OM,Hessen,8.780962334775143,50.09107871723499,-122909.4664363175,-99583.21262937551,45279934.716659226
06414,Wiesbaden,DE.HE.WE,Hessen,8.260366473067856,50.079156684691824,-160160.42959957,-99906.05647930189,203521932.69085082
06431,Bergstraße,DE.HE.BR,Hessen,8.660116112450545,49.617701224104025,-132847.14530495947,-151975.80156649498,718252219.1472039
06432,Darmstadt-Dieburg,DE.HE.DD,Hessen,8.795469816082228,49.8555038253092,-122491.06290404634,-125784.35401453768,657090681.657233
06433,Groß-Gerau,DE.HE.GG,Hessen,8.470252413411608,49.90450862465357,-145692.24041194408,-119759.69994332756,452607478.02486104
06434,Hochtaunuskreis,DE.HE.HC,Hessen,8.50464604248173,50.28161523073859,-142082.1698461439,-77920.75118539883,480031255.8684119
06435,Main-Kinzig-Kreis,DE.HE.MK,Hessen,9.286222932412983,50.243864513273664,-86539.23971702618,-83313.14344953939,1394658089.3781357
06436,Main-Taunus-Kreis,DE.HE.MT,Hessen,8.4345712442531,50.10257890547213,-147636.04712370297,-97671.97933037765,221212526.51965526
06437,Odenwaldkreis,DE.HE.OE,Hessen,8.979525286697115,49.67158616189648,-109679.33353045232,-146528.16791145335,624144340.3070385
06438,Offenbach,DE.HE.OF,Hessen,8.811439155450326,50.02167743441175,-120910.76429811002,-107342.16118358658,355628786.86318237
06439,Rheingau-Taunus-Kreis,DE.HE.RT,Hessen,8.081134696934493,50.14197170713495,-172768.52860017234,-92526.01654004592,810794711.2544818
