"krs","raumeinheit","aggregat","apotheken_2017","krankenhausbetten_2016","pflegebedürftige_2017","ambulante_pflege_2017","stationäre_pflege_2017","empfänger_von_pflegegeld_2017","personal_in_pflegeheimen_2017","personal_in_pflegediensten_2017","pflegeheimplätze_2017","betreuungsquote_kleinkinder_2017","siedlungsdichte_2017","freifläche_je_einwohner_2017","waldfläche_je_einwohner_2017","wasserfläche_je_einwohner_2017","einwohnerdichte_2017","einpendler_2017","auspendler_2017","pendler_mit_arbeitsweg_50_km_und_mehr_2017","pendler_mit_arbeitsweg_150_km_und_mehr_2017","pendler_mit_arbeitsweg_300_km_und_mehr_2017","erreichbarkeit_von_autobahnen_2018","erreichbarkeit_von_flughäfen_2018","erreichbarkeit_von_ic_ec_ice_bahnhöfen_2018","erreichbarkeit_von_oberzentren_2018","erreichbarkeit_von_mittelzentren_2018","nahversorgung_supermärkte_durchschnittsdistanz_2017","nahversorgung_supermärkte_anteil_der_bev__1km_radius_2017","nahversorgung_apotheken_durchschnittsdistanz_2017","nahversorgung_apotheken_anteil_der_bev__1km_radius_2017","nahversorgung_grundschulen_durchschnittsdistanz_2017","nahversorgung_grundschulen_anteil_der_bev__1km_radius_2017","nahversorgung_haltestellen_des_öv_durchschnittsdistanz_2017","nahversorgung_haltestellen_des_öv_anteil_der_bev__1km_radius_2017","pkw_dichte_2017"
9274,"Landshut","Landkreis",19.1,1.19,250.4,15,28.7,55.6,68.5,15.1,81.3,19.4,"1.047,90",76.5,"1.962,50","65,2","117",75.9,82.6,16.5,2.9,2.2,13,39,42,17,9,"1.523",56,"2.296",40,"1.730",46,"1.803",54,"644"
9275,"Passau","Landkreis",27.8,3.59,477.6,26.1,20.2,52.8,101.7,57.5,117,18.9,"969,7",70.7,"2.331,80","150,1","125",69.1,75.7,9.5,4.4,1.7,15,72,22,22,9,"1.370",54,"2.233",37,"1.947",41,"730",78,"631"
9276,"Regen","Landkreis",28.4,4.07,425.4,20,21.1,57.9,105.3,28.8,104,16.7,"948,1",115.9,"8.064,40","104,1","79",69.5,72.8,11.2,3.9,1.1,34,101,43,34,8,"1.487",51,"2.306",38,"1.594",45,"776",75,"613"
9277,"Rottal-Inn","Landkreis",26.6,5.33,412,29.1,24,45.8,108.6,73.4,113.4,17.3,"913,6",95.9,"2.762,00","106,6","94",68.1,74.3,11.2,3.3,2.2,19,77,44,28,8,"1.786",48,"2.794",37,"1.915",39,"1.771",51,"651"
9278,"Straubing-Bogen","Landkreis",23,3.92,333.7,22.8,16.9,59,67.1,58.2,66.3,19.1,"809,3",108.5,"3.314,80","202","83",72.7,82.9,12.1,3.6,1.8,13,73,27,17,11,"1.712",43,"2.701",33,"1.820",41,"2.659",39,"649"
9279,"Dingolfing-Landau","Landkreis",26.1,1.32,345.6,28.2,22.3,49,81.8,73.1,85.4,17.6,"937,8",81.4,"1.991,40","155,9","109",76.8,72.9,13.2,2.6,1.9,8,54,22,12,8,"1.616",51,"2.310",44,"2.204",36,"3.478",31,"640"
9361,"Amberg, Stadt","krsfr. Stadt",37.9,13.22,382.3,21.4,38.5,39.3,144.4,39.5,163.8,23.7,"2.423,90",8.1,"257,5","8,3","843",64.7,41.7,12.9,4,1.8,8,48,46,0,0,"600",89,"832",77,"724",80,"172",99,"571"
9362,"Regensburg, Stadt","krsfr. Stadt",30.5,18.78,314.9,30.6,32.7,35.9,98.8,64.9,122.7,30.5,"3.321,50",2.7,"40,3","17,6","1.866",64.1,30,13.9,4.7,3,2,67,3,0,0,"463",94,"510",91,"712",81,"183",100,"507"
9363,"Weiden i.d.OPf., Stadt","krsfr. Stadt",47,16.57,505.6,35.8,29.4,34.1,130.2,87.9,164.3,18.5,"2.042,40",12.2,"532,4","18,3","603",65,40.4,11.6,4.2,2,5,76,52,0,0,"574",90,"850",73,"728",79,"190",99,"593"
9371,"Amberg-Sulzbach","Landkreis",21.4,1.97,314.5,18.5,35.3,45.3,105.4,42.1,124.7,23.1,"853,2",110.9,"5.870,70","109,2","82",64.7,76.9,12.4,3.5,1.4,12,53,47,19,13,"1.874",50,"2.781",40,"1.814",45,"985",75,"651"
9372,"Cham","Landkreis",25.1,5.45,431.1,28.3,23.2,47.6,105.3,65,118.6,18.5,"802,2",108,"5.236,50","129,9","84",70.6,72.1,10.7,3.5,1,37,107,56,19,8,"1.564",49,"3.211",26,"1.902",36,"1.993",45,"660"
9373,"Neumarkt i.d.OPf.","Landkreis",22.6,3.81,321.9,21.3,30.3,47.8,101.4,26.5,106.9,18.8,"923,1",91.1,"3.824,30","55,4","99",64.2,69.1,12.6,3.9,1.7,9,46,33,19,8,"1.877",49,"2.382",38,"1.697",51,"1.324",68,"629"
9374,"Neustadt a.d.Waldnaab","Landkreis",26.5,1.97,404.9,29.2,26.5,43.2,101.6,79.6,121.7,25,"650,1",136.3,"7.099,10","257,1","66",75.5,81.1,10.1,3.5,1.6,10,74,58,21,6,"1.879",49,"2.272",45,"1.710",50,"1.081",70,"659"
9375,"Regensburg","Landkreis",20.3,1.26,271.4,13.4,32.6,52.9,83.2,19,102.7,18.9,"1.226,50",64.7,"2.509,20","123","138",76.2,86.6,9.8,3.8,2.2,7,68,18,17,11,"1.670",50,"2.328",43,"1.638",48,"846",79,"623"
9376,"Schwandorf","Landkreis",26.6,3.67,366.3,26.1,29.5,43.9,98.7,49.6,127.9,17.8,"933,8",89.3,"4.414,90","280,5","100",70.1,73.6,11.1,4.2,1.7,11,74,38,26,4,"1.579",56,"2.267",44,"1.623",45,"1.644",60,"646"
9377,"Tirschenreuth","Landkreis",23.4,3.98,415.4,25.8,33.1,40.6,127.5,56.2,152.5,25.9,"816,2",137.4,"7.023,40","267,7","67",69,73.5,9.2,2.9,1.3,13,94,74,17,6,"1.920",53,"2.667",40,"1.859",42,"996",73,"646"
9461,"Bamberg, Stadt","krsfr. Stadt",40.2,13.37,302.5,20,36.8,41.8,114,47.2,124.1,25.7,"2.809,60",4.1,"197,2","20","1.413",69.7,41,15.2,5.7,2.2,6,44,0,0,0,"453",94,"430",94,"648",81,"157",100,"503"
9462,"Bayreuth, Stadt","krsfr. Stadt",35.1,18.61,359.2,20.5,41,37.8,134.2,27.3,164.3,33.7,"2.617,60",5.9,"181,6","7,7","1.106",61.4,30.8,14.1,6.9,2.8,4,57,46,0,0,"536",89,"673",84,"736",78,"178",100,"516"
9463,"Coburg, Stadt","krsfr. Stadt",36.4,12.42,429.2,27.5,33.6,38.2,130.2,69.4,159.6,37.9,"2.094,30",7.5,"270,4","25","854",69.7,39.1,11.4,4.1,2.5,4,67,18,0,0,"755",75,"808",71,"709",82,"770",72,"599"
9464,"Hof, Stadt","krsfr. Stadt",41.3,10.07,530.6,27.2,31.1,40.6,156.5,43.5,183.9,25.7,"2.161,30",8.6,"188","28,7","792",58.8,40.4,12.1,6.5,3.8,6,86,62,0,0,"605",87,"732",76,"720",79,"210",98,"524"
9471,"Bamberg","Landkreis",25.2,2.12,312.2,21.5,27.9,49.5,77.6,24.4,95,32,"1.229,10",72.1,"3.236,90","107,9","126",75.8,85.7,11.9,3.5,1.2,6,46,17,18,9,"1.543",53,"1.945",50,"1.705",49,"1.522",59,"659"
9472,"Bayreuth","Landkreis",28.9,1.13,371.4,26.3,28.4,44.6,98.5,46.4,115.2,32,"873,8",112,"5.766,20","64,3","82",66.7,81.8,10.8,4,1.5,9,57,47,19,10,"2.081",43,"2.216",40,"2.167",39,"1.289",62,"662"
9473,"Coburg","Landkreis",25.3,1.07,372.3,21.5,28.3,49.2,88,24.2,121.9,38.9,"1.133,20",59.8,"2.162,50","39,1","147",71.6,78.6,7.5,3,1.9,9,70,20,12,8,"1.518",53,"1.895",44,"1.621",46,"1.055",70,"647"
9474,"Forchheim","Landkreis",27.7,2.69,294.8,23.8,25.4,49.9,76.1,34.7,84.7,30.8,"1.411,60",49.1,"2.174,70","59,4","180",70.9,82,6.9,3.9,1.5,12,35,24,16,11,"1.556",50,"1.802",44,"1.316",54,"417",92,"645"
9475,"Hof","Landkreis",29.2,6.17,469.4,19.2,32.7,47.6,131.1,31.8,165.7,34.8,"917,4",83,"3.340,80","83,6","107",73.5,73.5,8.8,4.2,2.5,6,87,59,15,5,"1.312",60,"1.878",46,"1.598",50,"1.288",61,"641"
9476,"Kronach","Landkreis",31.1,4.17,509.2,32.2,20.2,46.9,118.9,60.9,108,32.6,"1.049,50",87.6,"5.702,20","82,3","104",68.4,71.6,7.6,3,1.7,27,86,32,31,9,"1.387",50,"1.902",40,"1.788",38,"1.430",54,"651"
9477,"Kulmbach","Landkreis",34.7,7.29,452,29.9,25.2,43.6,124.6,99.3,129.8,35.1,"963,9",81.6,"3.422,80","64,4","109",66.3,70.1,9.6,3.7,1.5,9,71,36,11,8,"1.655",47,"1.815",44,"1.617",50,"1.252",63,"662"
