,IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand
66,1,Schleswig-Holstein,LK Dithmarschen,A15-A34,W,1,0,163466,2020-03-05 00:00:00+00:00,1051,2020-03-22
67,1,Schleswig-Holstein,LK Dithmarschen,A35-A59,M,1,0,163467,2020-03-15 00:00:00+00:00,1051,2020-03-22
68,1,Schleswig-Holstein,LK Dithmarschen,A35-A59,W,2,0,163468,2020-03-15 00:00:00+00:00,1051,2020-03-22
69,1,Schleswig-Holstein,LK Dithmarschen,A35-A59,W,1,0,163469,2020-03-18 00:00:00+00:00,1051,2020-03-22
70,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,163470,2020-03-15 00:00:00+00:00,1051,2020-03-22
71,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,163471,2020-03-18 00:00:00+00:00,1051,2020-03-22
72,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,163472,2020-03-19 00:00:00+00:00,1051,2020-03-22
73,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,163473,2020-03-15 00:00:00+00:00,1051,2020-03-22
74,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,163474,2020-03-18 00:00:00+00:00,1051,2020-03-22
75,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,163475,2020-03-20 00:00:00+00:00,1051,2020-03-22
76,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,M,1,0,163476,2020-03-11 00:00:00+00:00,1053,2020-03-22
77,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,M,1,0,163477,2020-03-18 00:00:00+00:00,1053,2020-03-22
78,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,163478,2020-03-02 00:00:00+00:00,1053,2020-03-22
79,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,163479,2020-03-10 00:00:00+00:00,1053,2020-03-22
80,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,163480,2020-03-11 00:00:00+00:00,1053,2020-03-22
81,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,163481,2020-03-16 00:00:00+00:00,1053,2020-03-22
82,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,163482,2020-03-19 00:00:00+00:00,1053,2020-03-22
83,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,1,0,163483,2020-03-10 00:00:00+00:00,1053,2020-03-22
84,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,2,0,163484,2020-03-18 00:00:00+00:00,1053,2020-03-22
85,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,2,0,163485,2020-03-19 00:00:00+00:00,1053,2020-03-22
86,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,3,0,163486,2020-03-13 00:00:00+00:00,1053,2020-03-22
87,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,1,0,163487,2020-03-17 00:00:00+00:00,1053,2020-03-22
88,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,M,1,0,163488,2020-03-13 00:00:00+00:00,1053,2020-03-22
89,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,M,1,0,163489,2020-03-16 00:00:00+00:00,1053,2020-03-22
90,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,M,1,0,163490,2020-03-17 00:00:00+00:00,1053,2020-03-22
91,1,Schleswig-Holstein,LK Herzogtum Lauenburg,unbekannt,M,1,0,163491,2020-03-17 00:00:00+00:00,1053,2020-03-22
92,1,Schleswig-Holstein,LK Herzogtum Lauenburg,unbekannt,W,1,0,163492,2020-03-17 00:00:00+00:00,1053,2020-03-22
93,1,Schleswig-Holstein,LK Nordfriesland,A00-A04,M,1,0,163493,2020-03-20 00:00:00+00:00,1054,2020-03-22
94,1,Schleswig-Holstein,LK Nordfriesland,A15-A34,M,2,0,163494,2020-03-17 00:00:00+00:00,1054,2020-03-22
95,1,Schleswig-Holstein,LK Nordfriesland,A15-A34,M,1,0,163495,2020-03-18 00:00:00+00:00,1054,2020-03-22
96,1,Schleswig-Holstein,LK Nordfriesland,A15-A34,W,1,0,163496,2020-03-17 00:00:00+00:00,1054,2020-03-22
97,1,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,1,0,163497,2020-03-12 00:00:00+00:00,1054,2020-03-22
98,1,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,3,0,163498,2020-03-17 00:00:00+00:00,1054,2020-03-22
